1,0.030268,120,30,4.439379930496216
0.97,0.114065,120,30,4.337993860244751
1,0.048399,120,30,4.355431079864502
1,0.033724,120,30,4.414301872253418
1,0.031353,120,30,4.349992990493774
1,0.088004,120,30,4.534042119979858
1,0.045941,120,30,4.4061057567596436
1,0.042953,120,30,4.462489128112793
1,0.049692,120,30,4.383577108383179
1,0.026951,120,30,4.415909051895142
0.97,0.076558,120,30,4.285974979400635
0.97,0.111008,120,30,4.335577964782715
1,0.017512,120,30,4.459923028945923
0.97,0.086931,120,30,4.377502918243408
0.93,0.205362,120,30,4.4387383460998535
0.97,0.139363,120,30,4.333199739456177
0.97,0.06194,120,30,4.314892053604126
1,0.047337,120,30,4.311269044876099
0.93,0.111887,120,30,4.373771905899048
1,0.075258,120,30,4.432166337966919
,,,,
