0.78,0.461624,768,0,13.65706205368042
0.92,0.183566,768,0,11.58335018157959
0.90,0.249897,768,0,11.779417037963867
0.88,0.282266,768,0,11.588597059249878
0.86,0.319167,768,0,11.893371820449829
0.88,0.265687,768,0,11.558336973190308
0.85,0.292849,768,0,11.681411981582642
0.90,0.240477,768,0,11.71995496749878
0.91,0.245017,768,0,11.558522939682007
0.85,0.327436,768,0,11.740291833877563
0.88,0.269962,768,0,11.582700729370117
0.86,0.300673,768,0,11.713830947875977
0.88,0.292727,768,0,11.532141208648682
0.85,0.291324,768,0,11.487542867660522
0.91,0.204648,768,0,11.639872074127197
0.85,0.323706,768,0,11.646084785461426
0.90,0.235169,768,0,11.339674949645996
0.87,0.294289,768,0,11.654210090637207
0.93,0.164031,768,0,11.565019130706787
0.86,0.296180,768,0,11.637584209442139
